"Sample" "Tissue" "Condition"
"234" "GSM3985495" "Retina_non-Macula" "Control"
"235" "GSM3985496" "RPE_non-Macula" "Control"
"236" "GSM3985497" "Retina_Macula" "Control"
"237" "GSM3985498" "Retina_non-Macula" "Control"
"238" "GSM3985499" "Retina_Macula" "Control"
"239" "GSM3985500" "RPE_non-Macula" "Control"
"240" "GSM3985501" "RPE_non-Macula" "Control"
"241" "GSM3985502" "Retina_non-Macula" "Control"
"242" "GSM3985503" "RPE_non-Macula" "Control"
"243" "GSM3985504" "RPE_non-Macula" "AMD"
"244" "GSM3985505" "Retina_Macula" "Control"
"245" "GSM3985506" "Retina_non-Macula" "Control"
"246" "GSM3985507" "Retina_Macula" "Control"
"247" "GSM3985508" "Retina_Macula" "Control"
"248" "GSM3985509" "RPE_Macula" "Control"
"249" "GSM3985510" "RPE_non-Macula" "Control"
"250" "GSM3985511" "RPE_Macula" "Control"
"251" "GSM3985512" "RPE_Macula" "AMD"
"252" "GSM3985513" "Retina_Macula" "AMD"
"253" "GSM3985514" "Retina_non-Macula" "Control"
"254" "GSM3985515" "RPE_Macula" "Control"
"255" "GSM3985516" "Retina_Macula" "Control"
"256" "GSM3985517" "RPE_Macula" "Control"
"257" "GSM3985518" "RPE_Macula" "Control"
"258" "GSM3985519" "Retina_non-Macula" "Control"
"259" "GSM3985520" "RPE_non-Macula" "Control"
"260" "GSM3985521" "RPE_non-Macula" "AMD"
"261" "GSM3985522" "RPE_non-Macula" "Control"
"262" "GSM3985523" "Retina_non-Macula" "AMD"
"263" "GSM3985524" "Retina_Macula" "Control"
"264" "GSM3985525" "RPE_non-Macula" "AMD"
"265" "GSM3985526" "RPE_non-Macula" "Control"
"266" "GSM3985527" "Retina_Macula" "Control"
"267" "GSM3985528" "RPE_non-Macula" "Control"
"268" "GSM3985529" "RPE_Macula" "Control"
"269" "GSM3985530" "Retina_Macula" "Control"
"270" "GSM3985531" "Retina_non-Macula" "Control"
"271" "GSM3985532" "Retina_non-Macula" "Control"
"272" "GSM3985533" "Retina_Macula" "Control"
"273" "GSM3985534" "Retina_Macula" "Control"
"274" "GSM3985535" "RPE_non-Macula" "Control"
"275" "GSM3985536" "Retina_non-Macula" "Control"
"276" "GSM3985537" "Retina_Macula" "Control"
"277" "GSM3985538" "RPE_Macula" "Control"
"278" "GSM3985539" "Retina_non-Macula" "Control"
"279" "GSM3985540" "RPE_non-Macula" "Control"
"280" "GSM3985541" "RPE_Macula" "Control"
"281" "GSM3985542" "Retina_Macula" "Control"
"282" "GSM3985543" "RPE_Macula" "AMD"
"283" "GSM3985544" "RPE_non-Macula" "Control"
"284" "GSM3985545" "Retina_Macula" "Control"
"285" "GSM3985546" "RPE_non-Macula" "Control"
"286" "GSM3985547" "RPE_Macula" "Control"
"287" "GSM3985548" "RPE_Macula" "Control"
"288" "GSM3985549" "RPE_non-Macula" "Control"
"289" "GSM3985550" "Retina_non-Macula" "Control"
"290" "GSM3985551" "Retina_Macula" "Control"
"291" "GSM3985552" "Retina_Macula" "AMD"
"292" "GSM3985553" "RPE_non-Macula" "Control"
"293" "GSM3985554" "RPE_Macula" "Control"
"294" "GSM3985555" "RPE_Macula" "Control"
"295" "GSM3985556" "Retina_Macula" "Control"
"296" "GSM3985557" "RPE_non-Macula" "Control"
"297" "GSM3985558" "Retina_non-Macula" "Control"
"298" "GSM3985559" "RPE_non-Macula" "Control"
"299" "GSM3985560" "Retina_non-Macula" "Control"
"300" "GSM3985561" "RPE_Macula" "AMD"
"301" "GSM3985562" "RPE_Macula" "Control"
"302" "GSM3985563" "Retina_non-Macula" "Control"
"303" "GSM3985564" "Retina_non-Macula" "Control"
"304" "GSM3985565" "RPE_non-Macula" "Control"
"305" "GSM3985566" "RPE_non-Macula" "Control"
"306" "GSM3985567" "Retina_Macula" "Control"
"307" "GSM3985568" "RPE_non-Macula" "Control"
"308" "GSM3985569" "Retina_non-Macula" "Control"
"309" "GSM3985570" "Retina_non-Macula" "Control"
"310" "GSM3985571" "Retina_Macula" "Control"
"311" "GSM3985572" "Retina_Macula" "Control"
"312" "GSM3985573" "RPE_non-Macula" "Control"
"313" "GSM3985574" "RPE_non-Macula" "Control"
"314" "GSM3985575" "RPE_Macula" "Control"
"315" "GSM3985576" "RPE_Macula" "AMD"
"316" "GSM3985577" "RPE_Macula" "Control"
"317" "GSM3985578" "Retina_Macula" "Control"
"318" "GSM3985579" "RPE_Macula" "Control"
"319" "GSM3985580" "RPE_non-Macula" "Control"
"320" "GSM3985581" "RPE_Macula" "Control"
"321" "GSM3985582" "Retina_non-Macula" "AMD"
"322" "GSM3985583" "Retina_Macula" "AMD"
"323" "GSM3985584" "Retina_non-Macula" "Control"
"324" "GSM3985585" "Retina_Macula" "Control"
"325" "GSM3985586" "Retina_non-Macula" "Control"
"326" "GSM3985587" "RPE_non-Macula" "Control"
"327" "GSM3985588" "Retina_Macula" "Control"
"328" "GSM3985589" "Retina_Macula" "Control"
"329" "GSM3985590" "RPE_Macula" "Control"
"330" "GSM3985591" "RPE_Macula" "Control"
"331" "GSM3985592" "Retina_non-Macula" "Control"
"332" "GSM3985593" "Retina_non-Macula" "Control"
"333" "GSM3985594" "Retina_non-Macula" "Control"
"334" "GSM3985595" "Retina_Macula" "Control"
"335" "GSM3985596" "RPE_Macula" "Control"
"336" "GSM3985597" "Retina_non-Macula" "Control"
"337" "GSM3985598" "RPE_Macula" "AMD"
"338" "GSM3985599" "RPE_Macula" "Control"
"339" "GSM3985600" "Retina_non-Macula" "Control"
"340" "GSM3985601" "RPE_non-Macula" "Control"
